batch,pair,condition,panel,metric,correct,n,percent,qualified
matched,1,both,validation,all,688,768,89.58333333333333,False
matched,1,both,validation,lookup,178,256,69.53125,
matched,1,both,validation,lookup_majority,93,256,36.328125,
matched,1,both,validation,parity,256,256,100.0,
matched,1,both,validation,parity_majority,131,256,51.171875,
matched,1,both,validation,sum3,254,256,99.21875,
matched,1,both,validation,sum3_majority,90,256,35.15625,
matched,1,both,train_probe,all,768,768,100.0,True
matched,1,both,train_probe,lookup,256,256,100.0,
matched,1,both,train_probe,lookup_majority,92,256,35.9375,
matched,1,both,train_probe,parity,256,256,100.0,
matched,1,both,train_probe,parity_majority,139,256,54.296875,
matched,1,both,train_probe,sum3,256,256,100.0,
matched,1,both,train_probe,sum3_majority,91,256,35.546875,
matched,1,parameter_only,validation,all,760,768,98.95833333333333,True
matched,1,parameter_only,validation,lookup,248,256,96.875,
matched,1,parameter_only,validation,lookup_majority,93,256,36.328125,
matched,1,parameter_only,validation,parity,256,256,100.0,
matched,1,parameter_only,validation,parity_majority,131,256,51.171875,
matched,1,parameter_only,validation,sum3,256,256,100.0,
matched,1,parameter_only,validation,sum3_majority,90,256,35.15625,
matched,1,parameter_only,train_probe,all,768,768,100.0,True
matched,1,parameter_only,train_probe,lookup,256,256,100.0,
matched,1,parameter_only,train_probe,lookup_majority,92,256,35.9375,
matched,1,parameter_only,train_probe,parity,256,256,100.0,
matched,1,parameter_only,train_probe,parity_majority,139,256,54.296875,
matched,1,parameter_only,train_probe,sum3,256,256,100.0,
matched,1,parameter_only,train_probe,sum3_majority,91,256,35.546875,
matched,1,hidden_only,validation,all,689,768,89.71354166666667,False
matched,1,hidden_only,validation,lookup,179,256,69.921875,
matched,1,hidden_only,validation,lookup_majority,93,256,36.328125,
matched,1,hidden_only,validation,parity,256,256,100.0,
matched,1,hidden_only,validation,parity_majority,131,256,51.171875,
matched,1,hidden_only,validation,sum3,254,256,99.21875,
matched,1,hidden_only,validation,sum3_majority,90,256,35.15625,
matched,1,hidden_only,train_probe,all,768,768,100.0,True
matched,1,hidden_only,train_probe,lookup,256,256,100.0,
matched,1,hidden_only,train_probe,lookup_majority,92,256,35.9375,
matched,1,hidden_only,train_probe,parity,256,256,100.0,
matched,1,hidden_only,train_probe,parity_majority,139,256,54.296875,
matched,1,hidden_only,train_probe,sum3,256,256,100.0,
matched,1,hidden_only,train_probe,sum3_majority,91,256,35.546875,
matched,1,neither,validation,all,765,768,99.609375,True
matched,1,neither,validation,lookup,254,256,99.21875,
matched,1,neither,validation,lookup_majority,93,256,36.328125,
matched,1,neither,validation,parity,255,256,99.609375,
matched,1,neither,validation,parity_majority,131,256,51.171875,
matched,1,neither,validation,sum3,256,256,100.0,
matched,1,neither,validation,sum3_majority,90,256,35.15625,
matched,1,neither,train_probe,all,768,768,100.0,True
matched,1,neither,train_probe,lookup,256,256,100.0,
matched,1,neither,train_probe,lookup_majority,92,256,35.9375,
matched,1,neither,train_probe,parity,256,256,100.0,
matched,1,neither,train_probe,parity_majority,139,256,54.296875,
matched,1,neither,train_probe,sum3,256,256,100.0,
matched,1,neither,train_probe,sum3_majority,91,256,35.546875,
matched,2,both,validation,all,689,768,89.71354166666667,False
matched,2,both,validation,lookup,183,256,71.484375,
matched,2,both,validation,lookup_majority,93,256,36.328125,
matched,2,both,validation,parity,255,256,99.609375,
matched,2,both,validation,parity_majority,131,256,51.171875,
matched,2,both,validation,sum3,251,256,98.046875,
matched,2,both,validation,sum3_majority,90,256,35.15625,
matched,2,both,train_probe,all,768,768,100.0,True
matched,2,both,train_probe,lookup,256,256,100.0,
matched,2,both,train_probe,lookup_majority,95,256,37.109375,
matched,2,both,train_probe,parity,256,256,100.0,
matched,2,both,train_probe,parity_majority,133,256,51.953125,
matched,2,both,train_probe,sum3,256,256,100.0,
matched,2,both,train_probe,sum3_majority,89,256,34.765625,
matched,2,parameter_only,validation,all,761,768,99.08854166666667,True
matched,2,parameter_only,validation,lookup,250,256,97.65625,
matched,2,parameter_only,validation,lookup_majority,93,256,36.328125,
matched,2,parameter_only,validation,parity,255,256,99.609375,
matched,2,parameter_only,validation,parity_majority,131,256,51.171875,
matched,2,parameter_only,validation,sum3,256,256,100.0,
matched,2,parameter_only,validation,sum3_majority,90,256,35.15625,
matched,2,parameter_only,train_probe,all,768,768,100.0,True
matched,2,parameter_only,train_probe,lookup,256,256,100.0,
matched,2,parameter_only,train_probe,lookup_majority,95,256,37.109375,
matched,2,parameter_only,train_probe,parity,256,256,100.0,
matched,2,parameter_only,train_probe,parity_majority,133,256,51.953125,
matched,2,parameter_only,train_probe,sum3,256,256,100.0,
matched,2,parameter_only,train_probe,sum3_majority,89,256,34.765625,
matched,2,hidden_only,validation,all,674,768,87.76041666666667,False
matched,2,hidden_only,validation,lookup,166,256,64.84375,
matched,2,hidden_only,validation,lookup_majority,93,256,36.328125,
matched,2,hidden_only,validation,parity,253,256,98.828125,
matched,2,hidden_only,validation,parity_majority,131,256,51.171875,
matched,2,hidden_only,validation,sum3,255,256,99.609375,
matched,2,hidden_only,validation,sum3_majority,90,256,35.15625,
matched,2,hidden_only,train_probe,all,768,768,100.0,True
matched,2,hidden_only,train_probe,lookup,256,256,100.0,
matched,2,hidden_only,train_probe,lookup_majority,95,256,37.109375,
matched,2,hidden_only,train_probe,parity,256,256,100.0,
matched,2,hidden_only,train_probe,parity_majority,133,256,51.953125,
matched,2,hidden_only,train_probe,sum3,256,256,100.0,
matched,2,hidden_only,train_probe,sum3_majority,89,256,34.765625,
matched,2,neither,validation,all,755,768,98.30729166666667,False
matched,2,neither,validation,lookup,244,256,95.3125,
matched,2,neither,validation,lookup_majority,93,256,36.328125,
matched,2,neither,validation,parity,256,256,100.0,
matched,2,neither,validation,parity_majority,131,256,51.171875,
matched,2,neither,validation,sum3,255,256,99.609375,
matched,2,neither,validation,sum3_majority,90,256,35.15625,
matched,2,neither,train_probe,all,768,768,100.0,True
matched,2,neither,train_probe,lookup,256,256,100.0,
matched,2,neither,train_probe,lookup_majority,95,256,37.109375,
matched,2,neither,train_probe,parity,256,256,100.0,
matched,2,neither,train_probe,parity_majority,133,256,51.953125,
matched,2,neither,train_probe,sum3,256,256,100.0,
matched,2,neither,train_probe,sum3_majority,89,256,34.765625,
matched,3,both,validation,all,667,768,86.84895833333333,False
matched,3,both,validation,lookup,160,256,62.5,
matched,3,both,validation,lookup_majority,93,256,36.328125,
matched,3,both,validation,parity,256,256,100.0,
matched,3,both,validation,parity_majority,131,256,51.171875,
matched,3,both,validation,sum3,251,256,98.046875,
matched,3,both,validation,sum3_majority,90,256,35.15625,
matched,3,both,train_probe,all,768,768,100.0,True
matched,3,both,train_probe,lookup,256,256,100.0,
matched,3,both,train_probe,lookup_majority,88,256,34.375,
matched,3,both,train_probe,parity,256,256,100.0,
matched,3,both,train_probe,parity_majority,132,256,51.5625,
matched,3,both,train_probe,sum3,256,256,100.0,
matched,3,both,train_probe,sum3_majority,95,256,37.109375,
matched,3,parameter_only,validation,all,759,768,98.828125,True
matched,3,parameter_only,validation,lookup,247,256,96.484375,
matched,3,parameter_only,validation,lookup_majority,93,256,36.328125,
matched,3,parameter_only,validation,parity,256,256,100.0,
matched,3,parameter_only,validation,parity_majority,131,256,51.171875,
matched,3,parameter_only,validation,sum3,256,256,100.0,
matched,3,parameter_only,validation,sum3_majority,90,256,35.15625,
matched,3,parameter_only,train_probe,all,768,768,100.0,True
matched,3,parameter_only,train_probe,lookup,256,256,100.0,
matched,3,parameter_only,train_probe,lookup_majority,88,256,34.375,
matched,3,parameter_only,train_probe,parity,256,256,100.0,
matched,3,parameter_only,train_probe,parity_majority,132,256,51.5625,
matched,3,parameter_only,train_probe,sum3,256,256,100.0,
matched,3,parameter_only,train_probe,sum3_majority,95,256,37.109375,
matched,3,hidden_only,validation,all,692,768,90.10416666666667,False
matched,3,hidden_only,validation,lookup,181,256,70.703125,
matched,3,hidden_only,validation,lookup_majority,93,256,36.328125,
matched,3,hidden_only,validation,parity,256,256,100.0,
matched,3,hidden_only,validation,parity_majority,131,256,51.171875,
matched,3,hidden_only,validation,sum3,255,256,99.609375,
matched,3,hidden_only,validation,sum3_majority,90,256,35.15625,
matched,3,hidden_only,train_probe,all,768,768,100.0,True
